"SciName"	"Genus"	"fc"	"estimate"	"std.error"	"statistic"	"padj"
"P_troglodytes"	"Diutina"	2.93638388421029	-2.49620159019223	0.705344273141106	-3.53898328127895	0.00329738261039986
"P_troglodytes"	"Geotrichum"	1.84882234323497	-2.71455095009161	1.17846485362001	-2.3034636474334	0.0421073045094317
"P_troglodytes"	"Kazachstania"	1.89638537217768	-2.14177389371096	0.828467507912126	-2.58522376949771	0.0241615421834314
"P_troglodytes"	"Lactarius"	5.29140469901653	-4.87527154924581	1.28878471378202	-3.78284402127879	0.00191792473984834
"P_troglodytes"	"Moniliella"	2.44781528113223	-2.29264496078166	1.14890171863253	-1.99551008027951	0.0768915598803517
"P_troglodytes"	"Pichia"	0.937297991899184	-2.52072544629267	0.861734141677485	-2.92517764398394	0.0127451082533741
"P_troglodytes"	"Rhizopus"	2.56788470490315	-2.48483270513192	0.969208905096558	-2.56377411728834	0.0252276154507629
"P_troglodytes"	"Saccharomyces"	3.72571729924073	-3.67112769768183	1.15463334158201	-3.17947487351429	0.00748634503123833
"P_troglodytes"	"Saprochaete"	3.21789621394566	-2.78362033075745	0.709028678874657	-3.92596295988409	0.00141066762399088
"P_troglodytes"	"Trichosporon"	4.2833538794187	-3.95088995581266	0.837811683800228	-4.71572554096146	0.000193563696541357
"P_troglodytes"	"Trichosporonoides"	2.82891612111888	-2.5201581700826	0.844755924576966	-2.98329741971877	0.011387071369943
"P_troglodytes"	"Wallemia"	3.53518383331715	-3.05688527288101	0.826856934087599	-3.69699417983856	0.00232541798669676
"G_gorilla"	"Diutina"	2.67556235676703	2.40020766606374	0.535015985487326	4.4862354231855	0.000246064563817408
"G_gorilla"	"Geotrichum"	1.34016983160086	2.40674932273891	0.946170161896115	2.54367493254682	0.0250662432926785
"G_gorilla"	"Kazachstania"	2.20597035508958	2.13899980847471	0.607170428995317	3.52289852457753	0.00304224824996528
"G_gorilla"	"Lactarius"	4.14317818553576	4.12480773394448	1.0081680733292	4.09138896882882	0.00071474583831815
"G_gorilla"	"Moniliella"	3.67750466043124	3.38585767975863	0.757942576627548	4.46716912885926	0.000254292009420361
"G_gorilla"	"Pichia"	3.83774824218811	5.0574257842288	0.790127006193092	6.40077575451567	7.45853100173775e-07
"G_gorilla"	"Rhizopus"	2.65128302267378	2.63117945949397	0.703459370538651	3.7403431807003	0.00178264106076284
"G_gorilla"	"Saccharomyces"	3.58637311353506	3.95401193558603	0.929321161516004	4.25473140968386	0.000461450769913799
"G_gorilla"	"Saprochaete"	2.37767613663688	2.48949357859101	0.555854537629535	4.47867816139014	0.000249340140163055
"G_gorilla"	"Trichosporon"	3.53480262255193	4.02714563419787	0.5701018035574	7.06390614635619	7.5392145680962e-08
"G_gorilla"	"Trichosporonoides"	2.56809459367563	2.39447169513327	0.630182647593187	3.79964714083815	0.00158309235206864
"G_gorilla"	"Wallemia"	2.99945893616918	2.88423756991413	0.612819003005608	4.70650804849102	0.000142825231449453
"G_beringei"	"Diutina"	2.93638388421029	2.54339634837698	0.559919222047462	4.54243442308788	0.000238730749558885
"G_beringei"	"Geotrichum"	4.12238256574549	4.15866025041351	0.867733226336669	4.79255619606757	0.000126576637759738
"G_beringei"	"Kazachstania"	-0.0783869117110516	0.54390525979829	0.897850893220582	0.60578573113327	0.590642138796433
"G_beringei"	"Lactarius"	4.7371503795569	4.77108272927782	1.02258858297727	4.66569137256237	0.000175659684480759
"G_beringei"	"Moniliella"	3.67750466043124	3.3533834734194	0.83898983489233	3.99692980052583	0.00102574827059111
"G_beringei"	"Pichia"	8.20573402571736	8.06266075331801	0.515025415054277	15.6548793858422	4.60020691071964e-19
"G_beringei"	"Rhizopus"	2.09605912059291	2.09968519624091	0.851231088851875	2.46664533725257	0.0294559565924054
"G_beringei"	"Saccharomyces"	3.82869763191562	3.92940701190236	1.02927423461009	3.81764828048078	0.00159644069134337
"G_beringei"	"Saprochaete"	3.21789621394566	2.80747343007005	0.55796867416947	5.03159686204418	6.00074918875325e-05
"G_beringei"	"Trichosporon"	5.0907785669089	4.67135209818592	0.567851988970271	8.22635508710084	2.54137276759654e-09
"G_beringei"	"Trichosporonoides"	2.82891612111888	2.54309662226801	0.667166393724395	3.81178765325903	0.00161315195573537
"G_beringei"	"Wallemia"	3.53518383331715	3.08412309445614	0.653905106731683	4.71646889236124	0.000154390659794474
"C_agilis"	"Diutina"	0.87331852815726	1.34552550757732	0.8800678349172	1.52888840404434	0.170362654084204
"C_agilis"	"Geotrichum"	0.454049093891095	2.27861514188974	1.27430429128494	1.78812482816966	0.111720449068605
"C_agilis"	"Kazachstania"	2.57576889422342	2.26651561914324	0.888145023704137	2.55196567976073	0.0260576384988375
"C_agilis"	"Lactarius"	2.77920814702536	3.67476076931927	1.44549620175725	2.5422140610622	0.0264141724283417
"C_agilis"	"Moniliella"	2.15989384983276	2.8185995415917	1.17713222784476	2.39446297953489	0.0358895636674964
"C_agilis"	"Pichia"	2.41601821138071	4.79403278906161	0.811626775275521	5.90669619965924	7.7592162829363e-06
"C_agilis"	"Rhizopus"	2.49076540888372	2.54413694813942	1.03883808241877	2.4490216436962	0.0319418125362568
"C_agilis"	"Saccharomyces"	5.52517171595763	5.18455164318896	1.1541545785426	4.4920773521825	0.000344454577841078
"C_agilis"	"Saprochaete"	2.47362203426301	2.14280890343252	0.847971357400812	2.52698264479195	0.0270007879317997
"C_agilis"	"Trichosporon"	5.0907785669089	4.61769768990646	0.785734856084338	5.87691592672683	8.13496011059648e-06
