id	General_phylogeny	Common_name	Family	Genus	Species	Notes	Sequencing_Type	Paper	Accession	Multi_species_accession	is.subset	primerset
30_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
30_Duma_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
31_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
32_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
33_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
35_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
3_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
3_Mama_ti_mio_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
46_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
4_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
4_Mio_1_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
5Malui_011	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
5_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
61_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
68_011	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
6_samba_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
77_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
7_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
7_Tembo_009	Ape	gorilla	Hominidae	gorilla	gorilla_gorilla	mann 2020 and gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
87M_010	Old_World	agile mangabey	Cercopithecidae	cercocebus	cercocebus_agilis	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
8_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
9_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
B1_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
B2_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
B3_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
B4_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
ERR4352182	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352183	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352184	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352185	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352186	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352187	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352188	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352189	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352190	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352191	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352192	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352193	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352194	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352195	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352196	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
ERR4352197	Lemur	indri	Indriidae	indri	indri_indri	NA	ITS2	Borruso2021	PRJEB39443	FALSE	FALSE	ITS3:ITS4
H10_E05_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H11_010	Ape	chimpanzee	Hominidae	pan	pan_troglodytes_schweinfurthii	gomez	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H1_009	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H2_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H33_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H34_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H35_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H36_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H37_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H38_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H39_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H3_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H40_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H41_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H42_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H43_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H44_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H45_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H46_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H47_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H48_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H49_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H4_010	Ape	gorilla	Hominidae	gorilla	gorilla_beringei	NA	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
H509_009	Ape	human	Hominidae	homo	homo_sapiens	gomez and truter 2024	ITS2	sharma2022	PRJNA686661	TRUE	NA	ITS3:ITS4
