id	Species
cercocebus_agilis	cercocebus_agilis
pan_troglodytes_schweinfurthii	pan_troglodytes_schweinfurthii
gorilla_gorilla	gorilla_gorilla
homo_sapiens	homo_sapiens
gorilla_beringei	gorilla_beringei
indri_indri	indri_indri
papio_cynocephalus	papio_cynocephalus
procolobus_gordonorum	procolobus_gordonorum
